                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.61295,                0.38097,                 1.1135,                0.96058,                0.95858,                0.97647,                 0.7496,                0.88142,                0.36878,                 1.2727,                0.00056,                0.00056,                0.00056
                     74,                0.61659,                0.38839,                  1.124,                0.96878,                0.96367,                0.98152,                0.75656,                0.86896,                0.35835,                 1.2755,                0.00054,                0.00054,                0.00054
                     75,                0.60874,                 0.3845,                 1.1094,                0.95592,                0.96066,                0.97987,                0.76556,                0.85074,                0.35469,                 1.2545,                0.00052,                0.00052,                0.00052
                     76,                0.59793,                0.37444,                 1.1054,                0.95994,                 0.9648,                0.97702,                0.75163,                0.87059,                0.35024,                  1.278,                 0.0005,                 0.0005,                 0.0005
                     77,                0.59795,                0.36848,                 1.1078,                0.96659,                0.95851,                0.98274,                0.76117,                0.86434,                0.36947,                 1.2705,                0.00048,                0.00048,                0.00048
                     78,                0.59917,                0.36944,                 1.1082,                 0.9551,                0.96892,                0.98078,                0.75909,                 0.8648,                0.36688,                 1.2613,                0.00046,                0.00046,                0.00046
                     79,                 0.5815,                0.35667,                 1.0953,                0.96183,                0.96894,                0.98109,                0.75762,                0.86568,                0.35218,                  1.274,                0.00044,                0.00044,                0.00044
                     80,                0.57562,                0.36241,                 1.0915,                0.96966,                0.96273,                0.97977,                0.76773,                0.86335,                0.35525,                 1.2706,                0.00042,                0.00042,                0.00042
                     81,                0.58003,                0.35332,                 1.0909,                 0.9601,                0.96687,                0.98156,                0.76106,                0.87454,                0.35584,                  1.275,                 0.0004,                 0.0004,                 0.0004
                     82,                0.57598,                0.35668,                 1.0952,                0.96674,                0.96294,                0.98447,                0.76175,                0.85721,                0.35327,                 1.2659,                0.00038,                0.00038,                0.00038
                     83,                0.57974,                  0.359,                 1.0908,                0.96298,                0.96949,                0.98143,                0.75058,                0.86605,                0.34229,                 1.2788,                0.00036,                0.00036,                0.00036
                     84,                 0.5686,                0.35149,                 1.0892,                0.96243,                0.96273,                0.98107,                0.75439,                0.86577,                0.35282,                 1.2721,                0.00034,                0.00034,                0.00034
                     85,                0.55963,                0.34904,                 1.0852,                0.96162,                0.95652,                0.97754,                0.74934,                0.86589,                0.35279,                 1.2784,                0.00032,                0.00032,                0.00032
                     86,                0.56514,                0.35444,                 1.0891,                0.96885,                0.96066,                0.98519,                0.75481,                0.86403,                0.35165,                 1.2658,                 0.0003,                 0.0003,                 0.0003
                     87,                0.55592,                0.34892,                 1.0804,                0.96295,                0.96852,                0.98275,                0.76055,                0.84981,                0.35518,                 1.2638,                0.00028,                0.00028,                0.00028
                     88,                0.55151,                0.34311,                 1.0779,                0.95665,                0.97516,                0.98573,                0.76065,                0.85855,                0.34574,                  1.271,                0.00026,                0.00026,                0.00026
                     89,                0.54944,                0.34255,                 1.0793,                0.97119,                0.96273,                0.98461,                0.76946,                0.84431,                0.34022,                 1.2568,                0.00024,                0.00024,                0.00024
                     90,                0.43369,                0.22784,                 0.9913,                0.96667,                0.96076,                0.98736,                0.76049,                0.85433,                0.35254,                 1.2701,                0.00022,                0.00022,                0.00022
                     91,                0.42402,                0.22002,                0.98133,                0.95586,                0.96894,                0.98407,                0.76307,                0.85752,                0.34548,                 1.2831,                 0.0002,                 0.0002,                 0.0002
                     92,                0.41632,                0.21358,                0.98113,                 0.9664,                0.95859,                 0.9817,                0.76419,                0.86244,                0.34614,                 1.2819,                0.00018,                0.00018,                0.00018
                     93,                0.41828,                 0.2143,                0.98073,                0.96878,                0.96361,                0.98436,                0.77234,                0.86141,                0.34647,                 1.2752,                0.00016,                0.00016,                0.00016
                     94,                0.41085,                0.21273,                 0.9726,                0.96658,                 0.9648,                0.98154,                0.77001,                0.85915,                0.34086,                 1.2831,                0.00014,                0.00014,                0.00014
                     95,                0.39855,                0.20246,                0.96983,                0.95732,                0.96066,                0.98416,                0.76651,                0.86468,                0.34907,                 1.2961,                0.00012,                0.00012,                0.00012
                     96,                0.39262,                0.20179,                 0.9627,                0.95886,                0.96513,                0.98386,                0.76532,                0.86652,                 0.3519,                 1.2991,                 0.0001,                 0.0001,                 0.0001
                     97,                0.39523,                0.20232,                0.95925,                0.95882,                0.96413,                0.98443,                0.76515,                 0.8695,                0.34467,                 1.3055,                  8e-05,                  8e-05,                  8e-05
                     98,                 0.3846,                0.19719,                0.95682,                0.95336,                0.96894,                0.98438,                 0.7694,                0.86453,                0.34534,                 1.3045,                  6e-05,                  6e-05,                  6e-05
                     99,                0.37901,                0.19478,                0.95557,                0.96209,                0.96066,                0.98379,                 0.7715,                0.86408,                0.34672,                 1.3041,                  4e-05,                  4e-05,                  4e-05
